Lietas ID (caseID),Tiesas ID (courtID),Tiesa,Dzimšanas datums,Ienākšanas kārtība,Ienākšanas datums,Izskatīšanas datums,Būtība,Prasījuma apmērs,atb_fiz,atb_jur,pras_fiz,pras_jur,Nozīmētās sēdes,Notikušās sēdes,naudaS_sods,dzivo_arzemes,atbr_no_nodevas
213477,40,Valkas rajona tiesa,060159,Pirmo reizi,6/5/2003,1/23/2017,parāda piedziņa,0.00,0,1,0,1,3,0,0,1,0
448971,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,050767,Pirmo reizi,11/29/2005,4/6/2017,zaudējumu piedziņa,0.00,1,0,1,0,9,1,0,0,1
477470,279,Rīgas pilsētas Pārdaugavas tiesa,010551,Sakarā ar tiesu apvienošanu,1/31/2017,10/2/2017,parāda piedziņa,21414.34,2,0,1,0,5,3,0,0,0
575613,27,Liepājas tiesa,030463,Pirmo reizi,6/4/2007,10/26/2017,zaudējumu piedziņa,916.25,6,0,2,0,4,0,0,0,0
580131,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,250174,Pēc piekritības no citas tiesas,10/7/2015,11/13/2017,parāda piedziņa,1588192.95,4,0,1,0,8,1,0,0,0
614723,279,Rīgas pilsētas Pārdaugavas tiesa,110274,Sakarā ar tiesu apvienošanu,1/31/2017,6/19/2017,parāda piedziņa,0.00,0,1,0,1,1,0,0,0,0
619189,25,Rīgas pilsētas Kurzemes rajona tiesa,010551,Pirmo reizi,10/26/2007,1/3/2017,zaudējumu piedziņa,0.00,0,2,0,1,5,0,0,0,0
623711,25,Rīgas pilsētas Kurzemes rajona tiesa,181271,Pirmo reizi,11/9/2007,1/12/2017,parāda piedziņa,0.00,0,1,0,1,4,1,0,0,0
628048,30,Valmieras rajona tiesa,071058,Pirmo reizi,11/26/2007,11/16/2017,par rokas naudas piedziņu,20.00,0,1,0,1,4,0,0,1,0
686457,279,Rīgas pilsētas Pārdaugavas tiesa,260765,Sakarā ar tiesu apvienošanu,1/31/2017,2/21/2017,parāda piedziņa,0.00,0,1,1,0,1,0,0,0,0
687481,26,Rīgas pilsētas Latgales priekšpilsētas tiesa,050856,Pirmo reizi,5/16/2008,3/29/2017,zaudējumu piedziņa,177.21,0,1,1,0,3,10,0,0,0
707297,4,Bauskas rajona tiesa,221265,Pirmo reizi,7/3/2008,3/2/2017,parāda piedziņa,60030.71,0,1,1,1,3,0,0,0,0
753938,279,Rīgas pilsētas Pārdaugavas tiesa,110274,Sakarā ar tiesu apvienošanu,1/31/2017,12/18/2017,parāda piedziņa,0.00,0,1,0,1,1,0,0,0,0
776387,26,Rīgas pilsētas Latgales priekšpilsētas tiesa,290568,Pirmo reizi,11/5/2008,3/14/2017,zaudējumu piedziņa,72328.21,0,1,0,2,14,0,0,0,0
781658,4,Bauskas rajona tiesa,221265,Pirmo reizi,11/14/2008,3/2/2017,parāda piedziņa,2269.75,0,1,0,1,2,0,0,0,0
781661,4,Bauskas rajona tiesa,221265,Pirmo reizi,11/14/2008,3/2/2017,parāda piedziņa,479.74,0,1,1,0,2,0,0,0,0
781665,4,Bauskas rajona tiesa,221265,Pirmo reizi,11/14/2008,3/2/2017,parāda piedziņa,2594.64,0,1,1,0,2,0,0,0,0
781672,4,Bauskas rajona tiesa,221265,Pirmo reizi,11/14/2008,3/2/2017,parāda piedziņa,1593.19,0,1,0,1,2,0,0,0,0
787273,4,Bauskas rajona tiesa,221265,Pirmo reizi,11/27/2008,3/2/2017,parāda piedziņa,3047.03,0,1,0,1,2,0,0,0,0
789216,4,Bauskas rajona tiesa,221265,Pirmo reizi,12/1/2008,3/2/2017,parāda piedziņa,1604.02,0,1,1,0,2,0,0,0,0
794535,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,090467,Pirmo reizi,12/10/2008,1/23/2017,par parāda piedziņu,11993.31,0,1,1,0,3,0,0,0,0
798256,4,Bauskas rajona tiesa,230773,Pirmo reizi,12/17/2008,3/14/2017,parāda piedziņa,359.62,0,1,0,1,2,0,0,0,0
801470,25,Rīgas pilsētas Kurzemes rajona tiesa,181271,Pirmo reizi,12/23/2008,1/13/2017,"parāda piedziņa, prasības nodrošinājums",0.00,0,1,0,1,7,2,0,0,0
820967,5,Cēsu rajona tiesa,090763,Pirmo reizi,1/29/2009,1/27/2017,"par mantisko tiesību atzīšanu par spēkā neesošu, naudas līdzekļu piedziņu",0.00,0,1,0,1,3,0,0,0,0
830326,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,271273,Pirmo reizi,2/12/2009,12/11/2017,par parāda piedziņu,75335.33,1,0,0,1,6,1,0,1,0
839445,26,Rīgas pilsētas Latgales priekšpilsētas tiesa,030180,Pēc piekritības no citas tiesas,1/15/2016,2/28/2017,aizdevuma parāda piedziņa  aizdevuma procentu piedziņa  līgumsoda piedziņa  prasības nodrošināšana,2272383.72,0,2,1,0,1,0,0,1,0
849393,25,Rīgas pilsētas Kurzemes rajona tiesa,010551,Pirmo reizi,3/12/2009,1/2/2017,"parāda piedziņa, prasības nodrošinājums",5880.01,0,1,0,1,2,0,0,0,0
851304,26,Rīgas pilsētas Latgales priekšpilsētas tiesa,290568,Pirmo reizi,3/17/2009,6/13/2017,"līguma laušana, parāda piedziņa, prasības nodrošināšana",5210.32,1,1,0,1,7,4,0,1,0
860335,29,Rīgas rajona tiesa,300962,Pirmo reizi,3/30/2009,4/10/2017,zaudējumu piedziņa,605.95,0,1,1,0,4,0,0,0,0
868693,34,Rīgas pilsētas Ziemeļu rajona tiesa,050479,Pirmo reizi,4/9/2009,3/6/2017,"zemes nomas līguma noslēgšana, parāda piedziņa, prasības nodrošināšana",0.00,1,0,1,0,14,0,1,0,0
878226,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,220971,Pirmo reizi,4/24/2009,4/6/2017,par aizdevuma un līgumsoda piedziņu,137310.00,1,0,0,1,5,1,0,0,0
895015,273,Rīgas rajona tiesa Jūrmalas tiesu nams,160383,Pēc piekritības no citas tiesas,9/23/2016,6/22/2017,"nomas maksas un soda naudas  piedziņa,  prasības nodrošinājums",1.00,2,2,1,0,5,1,0,0,0
905168,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,061075,Pirmo reizi,6/19/2009,1/16/2017,parāda piedziņa,0.00,1,0,0,1,3,1,0,0,0
927986,26,Rīgas pilsētas Latgales priekšpilsētas tiesa,030180,Pirmo reizi,8/12/2009,9/14/2017,"prasības nodrošināšana,  parāda piedziņa",8000.00,3,0,0,1,16,4,0,0,0
946616,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,201178,Pirmo reizi,9/23/2009,12/7/2017,parāda piedziņa,0.00,0,1,0,1,5,0,0,0,0
960773,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,200768,Pirmo reizi,10/21/2009,9/12/2017,parāda piedziņa,0.00,1,0,0,2,5,0,0,0,0
969416,27,Liepājas tiesa,120873,Pirmo reizi,11/5/2009,6/13/2017,parāda piedziņa,22510.38,0,1,0,1,2,0,0,0,0
972571,29,Rīgas rajona tiesa,300962,Pirmo reizi,11/12/2009,6/5/2017,parāda piedziņa,8403.30,0,1,0,1,2,0,0,0,0
972827,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,170969,Pirmo reizi,11/13/2009,4/5/2017,parāda piedziņa,0.00,1,0,0,1,12,1,0,0,0
977437,34,Rīgas pilsētas Ziemeļu rajona tiesa,260576,Pirmo reizi,11/24/2009,10/26/2017,"parāda, līgumsoda un likumisko procentu piedziņa",0.00,0,1,0,1,2,0,0,0,0
979250,34,Rīgas pilsētas Ziemeļu rajona tiesa,260576,Pirmo reizi,11/27/2009,6/29/2017,parāda piedziņa,0.00,0,1,0,1,3,0,0,0,0
991459,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,061075,Pirmo reizi,12/21/2009,12/20/2017,"par zemes nomas līguma noslēgšanu,  parāda piedziņu",0.00,0,1,1,0,2,0,0,0,0
992188,30,Valmieras rajona tiesa,210770,Pirmo reizi,12/23/2009,3/27/2017,parāda piedziņa,91582.35,2,0,0,1,6,1,2,1,0
1004328,19,Ogres rajona tiesa,041172,Pirmo reizi,1/20/2010,3/21/2017,par parāda un likumisko procentu piedziņu ar prasības nodrošinājumu,1900.83,0,1,0,1,2,0,0,0,0
1039375,26,Rīgas pilsētas Latgales priekšpilsētas tiesa,160463,Pirmo reizi,3/24/2010,10/4/2017,parāda piedziņa,464.90,2,0,0,1,22,3,0,0,0
1049869,39,Tukuma rajona tiesa,020564,Pirmo reizi,4/15/2010,1/16/2017,parāda piedziņa,1384.17,0,1,0,1,3,0,0,0,0
1052602,29,Rīgas rajona tiesa,140659,Pirmo reizi,4/19/2010,11/6/2017,parāda piedziņa,3080.43,1,0,0,3,2,2,0,0,0
1056942,27,Liepājas tiesa,241260,Pirmo reizi,4/26/2010,5/8/2017,parāda piedziņa,13514.11,3,0,0,1,10,1,1,0,0
1060891,279,Rīgas pilsētas Pārdaugavas tiesa,261075,Sakarā ar tiesu apvienošanu,1/31/2017,4/13/2017,parāda piedziņa,0.00,0,1,0,1,2,0,0,0,0
1063461,23,Jelgavas tiesa,090972,Pirmo reizi,5/10/2010,2/22/2017,zaudējumu piedziņa,106.19,1,0,0,1,7,0,1,0,0
1075389,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,090467,Pirmo reizi,5/31/2010,10/16/2017,parāda piedziņa,5964.18,2,0,0,1,5,1,0,0,0
1077127,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,230456,Pirmo reizi,6/2/2010,2/16/2017,"parāda piedziņa, prasības nodrošinājums",0.00,2,0,0,1,11,2,0,0,0
1079543,29,Rīgas rajona tiesa,040366,Pirmo reizi,6/8/2010,6/5/2017,parāda piedziņa,2630.45,2,0,0,1,2,1,0,0,0
1080498,26,Rīgas pilsētas Latgales priekšpilsētas tiesa,160463,Pirmo reizi,6/10/2010,4/6/2017,parāda piedziņa,160.37,1,0,0,1,6,0,0,0,0
1081590,26,Rīgas pilsētas Latgales priekšpilsētas tiesa,260463,Pirmo reizi,6/11/2010,3/9/2017,parāda piedziņa,1451.32,1,0,0,2,2,0,0,0,0
1093757,26,Rīgas pilsētas Latgales priekšpilsētas tiesa,260463,Pirmo reizi,7/5/2010,1/24/2017,parāda piedziņa,1360.78,1,0,0,2,14,1,0,0,0
1095815,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,271273,Pēc lēmuma atcelšanas,10/13/2016,3/7/2017,parāda piedziņa un prasības nodrošinājums,66146.00,0,1,0,1,6,6,0,0,0
1106183,26,Rīgas pilsētas Latgales priekšpilsētas tiesa,090470,Pirmo reizi,7/29/2010,2/23/2017,parāda piedziņa,2421.83,1,0,0,2,2,0,0,0,0
1107300,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,170969,Pirmo reizi,8/2/2010,1/9/2017,parāda piedziņa,0.00,0,1,0,2,8,0,2,0,0
1117165,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,170969,Pirmo reizi,8/23/2010,1/18/2017,zaudējumu piedziņa,0.00,0,1,1,0,4,0,0,0,0
1124740,27,Liepājas tiesa,060669,Pirmo reizi,9/7/2010,12/20/2017,parāda piedziņa,327.85,1,0,0,1,3,0,0,0,0
1125394,29,Rīgas rajona tiesa,180181,Pirmo reizi,9/8/2010,4/20/2017,"zaudējumu piedziņa,  kaitējuma piedziņa  par tiesu medicīniskās ekspertīzes nozīmēšana",1.00,0,1,1,0,13,3,0,0,0
1126586,23,Jelgavas tiesa,030872,Pēc piekritības no citas tiesas,10/21/2015,6/27/2017,par neatbilstoši veikto izdevumu atgūšanu,1405955.00,0,1,0,1,4,0,0,0,0
1135000,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,060678,Pēc piekritības no citas tiesas,1/18/2016,6/20/2017,parāda piedziņa prasības nodrošinājums,190368.92,2,2,0,1,1,2,0,0,0
1138743,19,Ogres rajona tiesa,041172,Pirmo reizi,9/30/2010,9/14/2017,zaudējumu piedziņa,64000.00,1,1,0,1,7,3,1,0,0
1145397,29,Rīgas rajona tiesa,050867,Pirmo reizi,10/14/2010,3/8/2017,parāda piedziņa,1.00,1,0,3,0,21,4,0,0,0
1148775,279,Rīgas pilsētas Pārdaugavas tiesa,110274,Sakarā ar tiesu apvienošanu,1/31/2017,4/3/2017,parāda piedziņa,3794.65,1,0,0,3,2,1,0,0,0
1149265,26,Rīgas pilsētas Latgales priekšpilsētas tiesa,160463,Pēc piekritības no citas tiesas,7/13/2015,4/4/2017,parāda piedziņa; prasības nodrošināšana,336314.00,5,1,0,1,3,1,0,0,0
1160875,26,Rīgas pilsētas Latgales priekšpilsētas tiesa,160766,Pirmo reizi,11/12/2010,12/6/2017,parāda piedziņa,0.00,1,0,0,2,5,0,0,0,0
1166756,29,Rīgas rajona tiesa,250778,Pēc piekritības no citas tiesas,1/15/2016,2/23/2017,parāda piedziņa,1.00,1,0,0,1,2,1,0,0,0
1170004,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,250174,Pēc piekritības no citas tiesas,7/20/2015,7/27/2017,par līguma izpildi un parāda piedziņu,102460.82,0,1,0,1,6,1,0,0,0
1170881,6,Dobeles rajona tiesa,190570,Pirmo reizi,12/2/2010,11/14/2017,zaudējumu piedziņa,976.20,1,0,1,0,9,0,0,0,0
1174636,27,Liepājas tiesa,060669,Pirmo reizi,12/13/2010,2/21/2017,parāda piedziņa,16393.09,2,0,0,1,7,2,0,0,0
1175404,279,Rīgas pilsētas Pārdaugavas tiesa,301270,Sakarā ar tiesu apvienošanu,1/31/2017,11/30/2017,par dzīvojamās mājas uzturēšanas un apsaimniekošanas maksas un komunālo maksājumu parāda piedziņu,2084.00,2,0,0,1,5,1,0,0,0
1176599,39,Tukuma rajona tiesa,040862,Pirmo reizi,12/16/2010,6/6/2017,parāda piedziņa,0.00,1,0,0,1,2,0,0,0,0
1176786,16,Limbažu rajona tiesa,161074,CPL 32.1 panta kārtībā (ātrākas izskatīšanas nodrošināšanai),6/20/2016,2/20/2017,parāda piedziņa,659.32,2,0,0,1,3,1,0,0,0
1183387,279,Rīgas pilsētas Pārdaugavas tiesa,280782,Sakarā ar tiesu apvienošanu,1/31/2017,8/28/2017,zaudējumu piedziņa,0.00,0,1,0,2,1,0,0,0,0
1185278,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,220177,Pirmo reizi,1/10/2011,9/11/2017,zaudējumu piedziņa,0.00,0,1,0,1,2,0,0,0,0
1189414,279,Rīgas pilsētas Pārdaugavas tiesa,230577,Sakarā ar tiesu apvienošanu,1/31/2017,11/21/2017,parāda piedziņa,0.00,2,0,0,1,3,1,0,0,0
1191726,26,Rīgas pilsētas Latgales priekšpilsētas tiesa,160463,Pirmo reizi,1/25/2011,12/28/2017,parāda piedziņa,127955.78,2,0,0,1,5,0,0,0,0
1207124,26,Rīgas pilsētas Latgales priekšpilsētas tiesa,260463,Pirmo reizi,3/3/2011,2/20/2017,parāda piedziņa,0.00,1,0,0,1,5,0,0,0,0
1212276,279,Rīgas pilsētas Pārdaugavas tiesa,220675,Sakarā ar tiesu apvienošanu,1/31/2017,10/30/2017,"zaudējumu atlīdzība LVL 275,000",275.00,15,0,0,1,2,0,0,2,0
1212277,34,Rīgas pilsētas Ziemeļu rajona tiesa,130877,Pēc piekritības no citas tiesas,7/20/2015,9/6/2017,"zaudējumu atlīdzība LVL 9 882 333,44",9882333.44,15,0,0,1,3,0,0,1,0
1214897,28,Rēzeknes tiesa,230471,Pirmo reizi,3/22/2011,11/13/2017,parāda piedziņa,29841.63,1,0,0,1,3,0,0,0,0
1215750,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,201178,Pēc piekritības no citas tiesas,3/17/2016,3/28/2017,par sabiedrībai nodarīto zaudējumu atlīdzību,322066.00,8,2,0,1,2,0,0,0,0
1216295,23,Jelgavas tiesa,050571,Pirmo reizi,3/24/2011,1/31/2017,zaudējumu piedziņa,0.00,1,0,0,1,2,0,0,0,0
1216508,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,030169,Pēc lēmuma atcelšanas,12/19/2012,10/20/2017,par nodarīto zaudējumu atlīdzību,0.00,15,0,0,1,7,0,0,1,0
1217368,23,Jelgavas tiesa,050571,Pirmo reizi,3/28/2011,8/23/2017,parāda un līgumsoda piedziņa,1096.74,1,0,0,1,5,0,0,0,0
1218059,279,Rīgas pilsētas Pārdaugavas tiesa,110274,Sakarā ar tiesu apvienošanu,1/31/2017,12/18/2017,parāda piedziņa,0.00,1,0,0,1,1,0,0,0,0
1218474,1,Aizkraukles rajona tiesa,250466,Pirmo reizi,3/30/2011,6/28/2017,par izsniegtā aizdevuma piedziņu un prasības nodrošināšanu,47870.00,1,0,0,1,29,2,0,0,1
1225137,26,Rīgas pilsētas Latgales priekšpilsētas tiesa,090470,Pirmo reizi,4/15/2011,6/5/2017,parāda piedziņa,6541.19,9,1,0,3,17,1,0,0,0
1227742,279,Rīgas pilsētas Pārdaugavas tiesa,181271,Sakarā ar tiesu apvienošanu,1/31/2017,8/29/2017,parāda piedziņa,0.00,2,0,0,1,2,1,0,0,0
1230651,19,Ogres rajona tiesa,271157,Pirmo reizi,4/29/2011,4/12/2017,parāda piedziņa,504.88,4,0,0,1,6,1,0,1,0
1234874,26,Rīgas pilsētas Latgales priekšpilsētas tiesa,211166,Pirmo reizi,5/11/2011,12/20/2017,parāda piedziņa,0.00,1,0,0,1,11,2,0,0,0
1235798,38,Talsu rajona tiesa,221159,Pēc piekritības no citas tiesas,9/25/2015,5/30/2017,"parāda piedziņa,8.038,59,un līgumsoda 1.447.38",9485.97,0,1,0,1,7,1,0,0,0
1240465,29,Rīgas rajona tiesa,040366,Pēc piekritības no citas tiesas,6/13/2016,1/18/2017,"zaudējumu piedziņa,  prasības nodrošinājums",221743.47,6,0,2,0,2,1,0,4,0
1249046,279,Rīgas pilsētas Pārdaugavas tiesa,171172,Sakarā ar tiesu apvienošanu,1/31/2017,10/25/2017,"parāda piedziņa,  līgumsoda piedziņa, nokavējuma procentu piedziņa, prasības nodrošināšana",78474.54,0,1,0,1,1,0,0,0,0
1251985,279,Rīgas pilsētas Pārdaugavas tiesa,280468,Sakarā ar tiesu apvienošanu,1/31/2017,3/7/2017,parāda piedziņa,0.00,2,0,0,1,2,1,0,0,0
1257769,19,Ogres rajona tiesa,271157,Pirmo reizi,7/4/2011,2/21/2017,parāda piedziņa,3076.63,1,0,0,1,3,0,0,0,0
1258124,279,Rīgas pilsētas Pārdaugavas tiesa,110274,Sakarā ar tiesu apvienošanu,1/31/2017,12/18/2017,parāda piedziņa,0.00,1,0,0,1,1,0,0,0,0
1260424,34,Rīgas pilsētas Ziemeļu rajona tiesa,090770,Pirmo reizi,7/11/2011,11/2/2017,parāda piedziņa,270.77,3,0,0,1,7,1,0,0,0
1260424,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,090770,Sakarā ar tiesu apvienošanu,1/12/2018,11/2/2017,parāda piedziņa,270.77,3,0,0,1,0,0,0,0,0
1269606,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,181166,Pirmo reizi,8/3/2011,11/23/2017,parāda piedziņa,0.00,0,1,0,1,2,6,0,0,0
1272295,26,Rīgas pilsētas Latgales priekšpilsētas tiesa,211180,Pēc lēmuma atcelšanas,12/21/2015,12/1/2017,parāda piedziņa,10712.00,0,1,0,2,5,0,0,0,0
1274328,26,Rīgas pilsētas Latgales priekšpilsētas tiesa,130279,Pirmo reizi,8/15/2011,2/28/2017,parāda piedziņa,0.00,1,0,0,1,2,0,0,0,0
1275870,34,Rīgas pilsētas Ziemeļu rajona tiesa,260576,Pirmo reizi,8/18/2011,10/17/2017,parāda piedziņa,0.00,3,0,0,2,7,1,0,0,0
1280801,6,Dobeles rajona tiesa,190570,Pēc piekritības no citas tiesas,3/5/2014,3/22/2017,līguma atzīšana par izbeigtu un parāda piedziņu,66284.48,0,1,0,1,10,0,0,0,0
1281417,26,Rīgas pilsētas Latgales priekšpilsētas tiesa,290568,Pirmo reizi,9/1/2011,11/28/2017,parāda piedziņa,2558.94,1,0,0,1,16,2,0,0,0
1282899,26,Rīgas pilsētas Latgales priekšpilsētas tiesa,290568,Pēc lēmuma atcelšanas,12/6/2016,6/5/2017,parāda piedziņa,3465.93,2,0,0,1,2,1,0,0,0
1287542,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,220971,Pirmo reizi,9/15/2011,3/31/2017,par zaudējumu piedziņu,61750.65,0,1,0,1,7,1,0,0,0
1291667,26,Rīgas pilsētas Latgales priekšpilsētas tiesa,211166,Pirmo reizi,9/26/2011,3/9/2017,parāda piedziņa,819.28,2,0,0,3,6,2,0,0,0
1293370,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,170969,Pirmo reizi,9/28/2011,1/18/2017,parāda piedziņa,0.00,1,0,0,1,2,0,0,0,0
1299351,5,Cēsu rajona tiesa,090763,Pirmo reizi,10/10/2011,4/4/2017,"par aizdevuma, procentu un līgumsoda piedziņu",0.00,1,0,0,1,3,1,0,1,0
1301799,29,Rīgas rajona tiesa,250778,Pēc lēmuma atcelšanas,9/8/2016,4/19/2017,izmaksātas apdrošināšanas atlīdzību  maza apmēra prasība,250.00,1,0,0,1,2,1,0,0,0
1301836,26,Rīgas pilsētas Latgales priekšpilsētas tiesa,060362,Pirmo reizi,10/17/2011,9/18/2017,parāda piedziņa,8639.08,3,0,0,1,7,1,0,0,0
1302633,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,090467,Pēc piekritības no citas tiesas,1/13/2016,8/28/2017,nodarītā kaitējuma atlīdzināšana,7000000.00,0,3,1,0,5,3,0,0,0
1306173,29,Rīgas rajona tiesa,250878,Pirmo reizi,10/26/2011,2/14/2017,parāda piedziņa,123042.00,0,1,0,1,4,0,0,0,0
1308724,29,Rīgas rajona tiesa,180181,Pēc lēmuma atcelšanas,3/30/2017,11/13/2017,maza apmēra prasībā par naudas piedziņu,1.00,1,0,0,2,2,0,0,0,0
1309414,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,240459,Pirmo reizi,11/2/2011,1/9/2017,"parāda piedziņa,  prasības nodrošinājums",0.00,1,0,0,2,4,0,0,0,0
1317297,279,Rīgas pilsētas Pārdaugavas tiesa,300971,Sakarā ar tiesu apvienošanu,1/31/2017,2/27/2017,parāda piedziņa,0.00,1,0,0,1,1,0,0,0,0
1318050,279,Rīgas pilsētas Pārdaugavas tiesa,270975,Sakarā ar tiesu apvienošanu,1/31/2017,9/14/2017,maza apmēra prasība par naudas piedziņu,152.53,0,1,0,1,5,1,0,0,0
1322085,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,030169,Pēc piekritības no citas tiesas,1/18/2016,9/13/2017,zaudējumu piedziņa,141526940.77,2,2,0,2,16,15,1,0,0
1322617,26,Rīgas pilsētas Latgales priekšpilsētas tiesa,290878,Pirmo reizi,12/5/2011,9/14/2017,parāda piedziņa,62033.65,3,0,0,1,3,1,0,0,0
1324325,279,Rīgas pilsētas Pārdaugavas tiesa,230577,Sakarā ar tiesu apvienošanu,1/31/2017,6/8/2017,dzīvojamās mājas uzturēšanas un apsaimniekošanas maksas un saņemto pakalpojumu maksājumu parāda piedziņa,0.00,1,0,0,1,1,1,0,0,0
1324790,279,Rīgas pilsētas Pārdaugavas tiesa,080480,Sakarā ar tiesu apvienošanu,1/31/2017,11/7/2017,maza apmēra prasība par naudas piedziņu,1.00,1,0,0,1,2,0,0,0,0
1325792,279,Rīgas pilsētas Pārdaugavas tiesa,260765,Sakarā ar tiesu apvienošanu,1/31/2017,10/18/2017,maza apmēra prasība par naudas piedziņu,0.00,1,0,0,1,1,0,0,0,0
1332558,10,Kuldīgas rajona tiesa,061262,Pirmo reizi,12/29/2011,4/18/2017,Ls 29470.00 apmērā piedziņa kā atprasījums no netaisnas iedzīvošanās,29470.00,2,0,1,0,16,1,0,0,0
1336323,29,Rīgas rajona tiesa,101277,Pēc lēmuma atcelšanas,10/25/2016,3/13/2017,maza apmēra prasība par naudas piedziņu,1124.48,0,1,4,0,2,1,0,0,0
1339795,26,Rīgas pilsētas Latgales priekšpilsētas tiesa,290568,Pēc lēmuma atcelšanas,7/15/2013,2/28/2017,parāda piedziņa,70396.89,0,1,1,2,10,4,0,1,0
1340722,34,Rīgas pilsētas Ziemeļu rajona tiesa,260576,CPL 32.1 panta kārtībā (ātrākas izskatīšanas nodrošināšanai),1/15/2016,10/9/2017,zaudējumu atlīdzināšana,3001109.80,0,2,1,0,4,1,0,0,0
1349229,279,Rīgas pilsētas Pārdaugavas tiesa,200277,Sakarā ar tiesu apvienošanu,1/31/2017,5/15/2017,parāda piedziņa,0.00,2,0,0,0,2,1,0,0,0
1349307,18,Madonas rajona tiesa,160250,Pirmo reizi,2/13/2012,10/9/2017,Parāda piedziņa un prasības nodrošinājums,0.00,2,0,1,1,9,0,0,0,0
1354423,5,Cēsu rajona tiesa,270966,Pirmo reizi,2/27/2012,3/13/2017,"par parāda piedziņu,  galvojuma līguma atzīšanu par spēkā neesošu",28408.00,1,0,0,1,17,0,0,0,0
1355659,34,Rīgas pilsētas Ziemeļu rajona tiesa,130476,Pēc lēmuma atcelšanas,9/27/2016,11/28/2017,maza apmēra prasība par naudas piedziņu,2646.00,1,0,0,1,3,1,0,0,0
1357652,273,Rīgas rajona tiesa Jūrmalas tiesu nams,050967,Sakarā ar tiesu apvienošanu,8/1/2015,10/9/2017,parāda piedziņa,0.00,2,0,1,0,2,1,0,0,0
1359683,26,Rīgas pilsētas Latgales priekšpilsētas tiesa,130279,Pirmo reizi,3/12/2012,2/28/2017,parāda piedziņa,36458.53,1,0,0,1,4,0,0,0,0
1364962,26,Rīgas pilsētas Latgales priekšpilsētas tiesa,030180,Pirmo reizi,3/26/2012,5/9/2017,parāda piedziņa,15811.30,3,0,0,2,11,2,0,0,0
1374738,279,Rīgas pilsētas Pārdaugavas tiesa,171172,Sakarā ar tiesu apvienošanu,1/31/2017,5/11/2017,maza apmēra prasība par naudas piedziņu,142.00,1,0,0,1,2,1,0,0,0
1378120,19,Ogres rajona tiesa,041172,Pēc piekritības no citas tiesas,1/18/2016,3/23/2017,parāda piedziņa,1119741.62,3,0,0,2,6,1,0,0,0
1380156,19,Ogres rajona tiesa,041172,Pirmo reizi,5/10/2012,4/5/2017,maza apmēra prasība par naudas piedziņu,1825.18,1,0,0,1,6,1,0,0,0
1385715,273,Rīgas rajona tiesa Jūrmalas tiesu nams,050967,Pēc lēmuma atcelšanas,11/24/2016,7/13/2017,maza apmēra prasība par parāda piedziņu,0.01,1,0,0,1,2,1,0,0,0
1385839,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,030169,Pirmo reizi,5/25/2012,8/8/2017,par parāda piedziņu,3015.79,0,1,0,1,2,0,0,0,0
1388252,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,250174,Pēc lēmuma atcelšanas,12/1/2016,10/10/2017,parāda piedziņa,331.61,0,1,1,0,2,1,0,0,0
1388377,29,Rīgas rajona tiesa,250778,Sakarā ar tiesu apvienošanu,1/8/2016,5/30/2017,zaudējuma piedziņa un prasības nodrošināšana,0.00,1,0,2,0,2,6,0,0,0
1395791,2,Alūksnes rajona tiesa,290167,Pirmo reizi,6/21/2012,5/10/2017,par parāda daļas (nesamaksāto procentu un līgumsoda piedziņu),2454396.00,1,0,0,2,6,1,0,0,0
1397118,279,Rīgas pilsētas Pārdaugavas tiesa,280468,Sakarā ar tiesu apvienošanu,1/31/2017,11/13/2017,parāda piedziņa,0.00,5,0,0,1,5,1,0,1,0
