Lietas ID (caseID),Tiesas ID (courtID),Tiesa,Dzimšanas datums,Ienākšanas kārtība,Ienākšanas datums,Izskatīšanas datums,Būtība,Prasījuma apmērs,atb_fiz,atb_jur,pras_fiz,pras_jur,Nozīmētās sēdes,Notikušās sēdes,naudaS_sods,dzivo_arzemes,atbr_no_nodevas
2078920,273,Rīgas rajona tiesa Jūrmalas tiesu nams,160383,Pirmo reizi,10/9/2017,11/15/2017,maza apmēra prasība par naudas piedziņu,1209.07,1,0,0,1,0,0,0,0,0
2078920,30,Valmieras rajona tiesa,050363,CPL 32.1 panta kārtībā (ātrākas izskatīšanas nodrošināšanai),11/21/2017,12/21/2017,maza apmēra prasība par naudas piedziņu,1209.07,1,0,0,1,0,0,0,0,0
2078934,273,Rīgas rajona tiesa Jūrmalas tiesu nams,161164,Pirmo reizi,10/9/2017,11/17/2017,"par parāda, procentu, līgumsoda piedziņu",14458.02,1,0,0,1,0,0,0,0,0
2078963,27,Liepājas tiesa,190260,Pirmo reizi,10/9/2017,12/7/2017,parāda piedziņa,357.72,1,0,0,1,0,0,0,0,0
2079054,27,Liepājas tiesa,280767,Pirmo reizi,10/9/2017,12/15/2017,parāda piedziņa,839.00,0,1,0,1,0,0,0,0,0
2079245,5,Cēsu rajona tiesa,270966,Pirmo reizi,10/9/2017,11/28/2017,maza apmēra prasība par naudas piedziņu,921.23,1,0,0,1,0,0,0,0,0
2079284,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,151274,Pirmo reizi,10/10/2017,11/30/2017,maza apmēra prasībā par naudas piedziņu,1350.00,1,0,1,0,0,0,0,0,0
2079408,273,Rīgas rajona tiesa Jūrmalas tiesu nams,160383,Pirmo reizi,10/10/2017,11/15/2017,naudas piedziņa,4278.21,1,0,1,0,0,0,0,0,0
2079550,5,Cēsu rajona tiesa,160555,Pirmo reizi,10/10/2017,12/18/2017,maza apmēra prasība par naudas piedziņu,886.44,1,0,0,1,0,0,0,0,0
2079595,30,Valmieras rajona tiesa,210770,Pirmo reizi,10/11/2017,12/4/2017,Maza apmēra prasība par naudas piedziņu.,956.76,1,0,0,1,0,0,0,0,0
2079625,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,220177,Pirmo reizi,10/11/2017,11/30/2017,maza apmēra prasībā par naudas piedziņu,340.91,1,0,0,1,0,0,0,0,0
2079627,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,100976,Pirmo reizi,10/11/2017,11/30/2017,maza apmēra prasībā par naudas piedziņu,388.88,1,0,0,1,0,0,0,0,0
2079637,37,Saldus rajona tiesa,190673,Pirmo reizi,10/11/2017,12/28/2017,maza apmēra prasība par naudas piedziņu,505.43,1,0,0,1,0,0,0,0,0
2079706,26,Rīgas pilsētas Latgales priekšpilsētas tiesa,130279,Pirmo reizi,10/11/2017,11/30/2017,maza apmēra prasība par naudas piedziņu,1730.19,1,0,0,1,0,0,0,0,0
2079757,31,Ventspils tiesa,170173,Pirmo reizi,10/11/2017,11/28/2017,maza apmēra prasība par naudas piedziņu,705.89,1,0,0,1,0,0,0,0,0
2079769,31,Ventspils tiesa,050174,Pirmo reizi,10/11/2017,12/11/2017,maza apmēra prasība par naudas piedziņu,197.55,2,0,0,1,0,0,0,0,0
2079770,5,Cēsu rajona tiesa,160555,Pirmo reizi,10/11/2017,12/20/2017,maza apmēra prasība par naudas piedziņu,231.26,1,0,0,1,0,0,0,0,0
2079792,31,Ventspils tiesa,050174,Pirmo reizi,10/11/2017,12/13/2017,maza apmēra prasība par naudas piedziņu,127.99,1,0,0,1,0,0,0,0,0
2079799,31,Ventspils tiesa,050174,Pirmo reizi,10/11/2017,12/13/2017,maza apmēra prasība par naudas piedziņu,220.12,1,0,0,1,0,0,0,0,0
2079801,31,Ventspils tiesa,050174,Pirmo reizi,10/11/2017,12/11/2017,maza apmēra prasība par naudas piedziņu,127.99,1,0,0,1,0,0,0,0,0
2079804,31,Ventspils tiesa,050174,Pirmo reizi,10/11/2017,12/11/2017,maza apmēra prasība par naudas piedziņu,129.91,1,0,0,1,0,0,0,0,0
2079809,31,Ventspils tiesa,050174,Pirmo reizi,10/11/2017,12/11/2017,maza apmēra prasība par naudas piedziņu,204.27,2,0,0,1,0,0,0,0,0
2079814,31,Ventspils tiesa,050174,Pirmo reizi,10/11/2017,12/11/2017,maza apmēra prasība par naudas piedziņu,149.02,2,0,0,1,0,0,0,0,0
2079923,27,Liepājas tiesa,190260,Pirmo reizi,10/11/2017,12/7/2017,īpašuma apsaimniekošanas parāda piedziņa,889.47,1,0,0,1,0,0,0,0,0
2080032,30,Valmieras rajona tiesa,210770,Pirmo reizi,10/12/2017,12/4/2017,Maza apmēra prasība par naudas piedziņu.,1658.15,1,0,0,1,0,0,0,0,0
2080051,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,150678,Pirmo reizi,10/12/2017,11/30/2017,maza apmēra prasībā par naudas piedziņu,664.15,1,0,0,1,0,0,0,0,0
2080066,26,Rīgas pilsētas Latgales priekšpilsētas tiesa,030180,Pirmo reizi,10/12/2017,11/30/2017,maza apmēra prasība par naudas piedziņu,2005.67,1,0,0,1,0,0,0,0,0
2080067,18,Madonas rajona tiesa,160250,Pirmo reizi,10/12/2017,12/14/2017,par parāda piedziņu,3066.56,1,0,0,1,1,0,0,0,0
2080069,279,Rīgas pilsētas Pārdaugavas tiesa,220675,Pirmo reizi,10/12/2017,12/21/2017,maza apmēra prasība par naudas piedziņu,1764.93,2,0,0,1,0,0,0,0,0
2080169,23,Jelgavas tiesa,090972,Pirmo reizi,10/12/2017,12/6/2017,maza apmēra prasība par naudas piedziņu,998.81,1,0,0,1,0,0,0,0,0
2080175,273,Rīgas rajona tiesa Jūrmalas tiesu nams,161164,Pirmo reizi,10/12/2017,11/17/2017,naudas piedziņa,5928.16,1,0,0,1,0,0,0,0,0
